ad_id,page_id,page_name,headline,body_copy,cta_type,destination_url,publisher_platforms,spend_range,impressions_range,categories,currency
AD_101_1,109847101,Apex Growth Dental,Get $500 Off Clear Aligners This Week,Custom invisible aligners crafted by board-certified orthodontists.,BOOK_NOW,https://apexgrowthdental.com/aligners-promo,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Dental & Aesthetics,USD
AD_101_2,109847101,Apex Growth Dental,Free Dental Implant Consultation in Dallas,Restore your smile in one appointment with our experienced implant specialists.,SIGN_UP,https://apexgrowthdental.com/implants-promo,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Dental & Aesthetics,USD
AD_101_3,109847101,Apex Growth Dental,Teeth Whitening Special - Only $199 Today,Professional laser whitening with guaranteed 5 shades brighter results.,LEARN_MORE,https://apexgrowthdental.com/whitening,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Dental & Aesthetics,USD
AD_102_1,109847102,Zenith Cloud SaaS,Automate Your B2B Sales Outreach With AI,AI-powered SDR agents that book 30+ qualified sales calls every month.,START_TRIAL,https://zenithcloudsaas.io/signup,"['facebook', 'instagram']",$1,500 - $5,000,50k - 100k,B2B Software,USD
AD_102_2,109847102,Zenith Cloud SaaS,Stop Wasting SDR Hours on Manual Prospecting,Connect Zenith AI to your CRM and watch outbound lead velocity triple.,LEARN_MORE,https://zenithcloudsaas.io/demo,"['facebook', 'instagram']",$1,500 - $5,000,50k - 100k,B2B Software,USD
AD_103_1,109847103,Luxe Beverly Hills Realty,Exclusive Modern Estate in Beverly Hills,Ultra-luxury 6-bed 8-bath architectural masterpiece with private infinity pool.,CONTACT_US,https://luxebeverlyhillsrealty.com/listings/102,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Luxury Real Estate,USD
AD_103_2,109847103,Luxe Beverly Hills Realty,Off-Market Luxury Mansions in Los Angeles,Access private off-market listings before they hit Zillow or Redfin.,LEARN_MORE,https://luxebeverlyhillsrealty.com/off-market,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Luxury Real Estate,USD
AD_104_1,109847104,Radiance Aesthetics MedSpa,Look 10 Years Younger with Morpheus8 RF,Skin tightening and collagen remodeling with zero surgical downtime.,BOOK_NOW,https://radianceaesthetics.com/morpheus8,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Medical Aesthetics,USD
AD_104_2,109847104,Radiance Aesthetics MedSpa,Botox & Dermal Filler Summer Special,Natural facial rejuvenation by top nurse injectors. Book before slots fill.,CLAIM_OFFER,https://radianceaesthetics.com/specials,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,Medical Aesthetics,USD
AD_105_1,109847105,Veloce Performance Carbon,Custom Forged Carbon Wheels for Supercars,Lightweight aerospace-grade forged carbon wheels engineered for track precision.,SHOP_NOW,https://velocecarbon.com/wheels,"['facebook', 'instagram']",$500 - $1,500,10k - 50k,High-Ticket E-commerce,USD
AD_106_1,109847106,Legacy Estate Law Group,Protect Your Family Wealth with Living Trusts,Avoid probate court delays and protect your children's financial future.,SCHEDULE_CONSULT,https://legacyestatelaw.com/consultation,"['facebook']",$200 - $500,5k - 10k,Legal Services,USD
AD_106_2,109847106,Legacy Estate Law Group,Comprehensive Asset Protection Plans for Business Owners,Shield personal assets from lawsuits and unexpected commercial claims.,LEARN_MORE,https://legacyestatelaw.com/asset-protection,"['facebook']",$200 - $500,5k - 10k,Legal Services,USD
